0:1:0
1:1:0
2:1:0
3:1:0
4:1:0
5:7:0
6:7:0
7:7:0
8:7:0
9:7:0
10:11:2
11:11:2
12:11:2
13:11:2
14:11:2
15:16:2
16:16:2
17:16:2
18:16:2
19:16:2
20:22:5
21:22:5
22:22:5
23:22:5
24:22:5
25:27:5
26:27:5
27:27:5
28:27:5
29:27:5
30:31:6
31:31:6
32:31:6
33:31:6
34:31:6
35:36:6
36:36:6
37:36:6
38:36:6
39:36:6
40:42:8
41:42:8
42:42:8
43:42:8
44:42:8
45:46:8
46:46:8
47:46:8
48:46:8
49:46:8
50:52:11
51:52:11
52:52:11
53:52:11
54:52:11
55:56:11
56:56:11
57:56:11
58:56:11
59:56:11
60:62:15
61:62:15
62:62:15
63:62:15
64:62:15
65:66:15
66:66:15
67:66:15
68:66:15
69:66:15
70:71:16
71:71:16
72:71:16
73:71:16
74:71:16
75:77:16
76:77:16
77:77:16
78:77:16
79:77:16
80:83:17
81:83:17
82:83:17
83:83:17
84:83:17
85:87:17
86:87:17
87:87:17
88:87:17
89:87:17
90:92:19
91:92:19
92:92:19
93:92:19
94:92:19
95:97:19
96:97:19
97:97:19
98:97:19
99:97:19
100:102:21
101:102:21
102:102:21
103:102:21
104:102:21
105:106:21
106:106:21
107:106:21
108:106:21
109:106:21
110:112:22
111:112:22
112:112:22
113:112:22
114:112:22
115:116:22
116:116:22
117:116:22
118:116:22
119:116:22
120:121:24
121:121:24
122:121:24
123:121:24
124:121:24
125:126:24
126:126:24
127:126:24
128:126:24
129:126:24
130:131:27
131:131:27
132:131:27
133:131:27
134:131:27
135:136:27
136:136:27
137:136:27
138:136:27
139:136:27
140:142:28
141:142:28
142:142:28
143:142:28
144:142:28
145:146:28
146:146:28
147:146:28
148:146:28
149:146:28
